"Age","MonthlySalary","TotalAsset","TotalRequired","NumberInstallments","Risk"
65,17003,366138,25044,103,22.3809523809524
68,8901,533879,55849,133,23.8095238095238
2,4957,475186,180413,357,100
1,1043,763639,185030,183,100
34,10675,148835,250881,313,21.1774013139601
79,6777,442979,19141,116,29.0476190476191
80,15458,303508,53279,42,29.5238095238095
87,728,992993,306540,229,100
61,8812,619916,219779,213,25.3421998158756
10,5701,657960,293958,6,100
98,16933,762856,12259,360,100
29,3636,294093,241206,99,100
90,7534,944429,238773,252,100
1,1471,155070,63700,50,100
67,18408,410177,44942,81,23.3333333333333
91,15696,463489,103950,56,100
43,296,483564,46373,246,100
34,15196,651208,104891,167,7.61904761904761
80,19471,548184,49825,100,29.5238095238095
74,7711,951898,330409,326,34.63965368175
19,17829,872491,215815,37,100
27,11121,952333,7767,243,4.28571428571429
89,1597,866985,283139,315,100
36,1821,635401,340597,166,100
57,7199,384261,356258,2,100
16,3542,150331,282371,30,100
60,11750,966885,211592,227,20
71,24,932095,364359,356,100
71,14748,91258,215131,53,100
4,2602,176084,386137,309,100
3,6004,257267,133205,339,100
8,3652,114299,215826,265,100
59,16974,392623,304820,31,100
42,4928,20840,183281,145,100
6,11483,577327,398170,83,100
4,6974,883822,292641,280,100
71,6749,43193,153347,101,67.6986802729074
15,15647,340270,189343,2,100
42,13999,452442,194308,320,11.4285714285714
21,18434,356958,128706,130,1.42857142857143
17,15509,957986,75371,343,100
61,15178,910646,185547,145,20.4761904761905
95,15081,219007,38155,98,100
100,193,649766,252688,306,100
72,2171,785880,347887,241,100
93,16238,345257,23808,322,100
83,6158,827058,166225,258,32.4260060589133
33,9118,625223,291483,6,100
11,124,436486,269609,219,100
41,6509,299816,357172,32,100
24,18878,321275,374313,134,18.386552736041
93,11111,569549,331497,128,100
11,3820,558685,47205,167,100
7,7123,467091,51560,173,100
6,12267,976306,252674,108,100
46,17885,885202,369521,320,13.3333333333333
26,12692,679645,249457,36,100
61,5446,353407,114461,260,20.4761904761905
12,18182,716123,77355,78,100
42,10924,388065,369505,106,100
21,15159,484859,164118,336,1.42857142857143
21,15488,986441,256140,336,1.42857142857143
4,4589,16327,279306,132,100
27,18606,346063,128618,55,11.0978763988451
81,2003,656808,398013,131,100
28,8930,449501,122651,186,4.76190476190476
76,8995,562209,341532,216,41.9895897644396
68,4856,649349,376850,1,100
87,2439,462466,365879,306,100
100,11291,727016,223385,185,100
49,17091,530264,150650,270,14.7619047619048
98,4240,438446,88364,69,100
96,5064,743652,133713,17,100
61,15227,85592,244669,134,47.6835876808493
47,11589,63252,152397,115,37.4907642538895
70,14051,200754,216140,255,27.1347495230164
21,13973,935315,200978,209,1.42857142857143
25,3859,184107,48136,300,3.33333333333333
2,7648,605942,240894,12,100
23,14739,563499,248375,341,2.38095238095237
37,417,601052,386021,130,100
57,15774,544583,20777,221,18.5714285714286
12,8466,897530,35548,243,100
64,9738,73155,805,162,21.9047619047619
29,9633,884055,353497,224,18.2243252013858
3,11967,591433,147345,130,100
90,9872,770273,343214,240,100
45,13730,23410,267031,278,43.2682187247387
68,15446,552727,213499,112,30.1333317274376
5,10324,589171,361483,13,100
79,19486,647551,280639,205,29.0476190476191
72,9559,70798,294292,136,69.6370562958849
97,6419,679314,224702,296,100
16,605,119740,104201,300,100
62,940,709595,363572,67,100
28,9011,158363,139146,72,22.5530018829144
62,1772,598999,313527,116,100
52,7223,289360,222934,289,18.3120757072241
13,65,535931,223497,35,100
49,725,229248,350610,246,100
52,15645,835580,297575,140,24.9888183451151
15,7267,581327,368511,12,100
85,15204,672111,154936,217,31.9047619047619
52,2234,981986,332159,202,100
50,11632,807851,76045,341,15.2380952380952
33,15042,775786,217018,226,7.14285714285715
91,3420,541282,22269,199,100
96,18605,648186,126808,63,100
66,8037,140077,311034,144,100
3,5566,324464,119647,251,100
86,19796,255937,104753,22,51.8559077521589
51,9003,129998,335580,310,41.7457337544947
53,3211,890291,40110,7,100
84,3114,315344,20166,94,31.4285714285714
67,974,350276,271597,201,100
16,13292,330302,318955,263,100
29,4051,280462,397679,258,100
7,2492,162641,126214,51,100
1,8762,781532,80576,253,100
45,17310,699574,341643,113,27.1059347246771
52,19618,578744,255888,100,23.9683581805135
95,10136,652320,186389,310,100
56,17711,419525,224579,57,36.4445791585907
67,2594,302291,394055,292,100
28,14874,560478,3107,308,4.76190476190476
7,1245,429985,374217,239,100
37,18953,516997,42325,273,9.04761904761905
16,3389,560485,5876,22,100
60,18750,207807,110271,127,20
10,9619,463224,179722,308,100
22,8932,223525,2696,184,1.90476190476191
61,19091,684314,295926,210,20.4761904761905
75,6939,473795,93004,8,100
10,16518,33994,91839,239,100
100,40,909689,49671,60,100
85,18249,411518,65746,236,31.9047619047619
69,8197,10404,27167,129,44.8535600790174
73,4395,99474,301586,254,100
82,8191,884364,308000,287,38.3677813852814
75,7187,782923,399393,86,100
50,14226,433493,359492,73,100
60,7947,762498,180483,198,24.2723137359197
16,1937,394905,305677,181,100
50,16395,760075,213002,197,15.2380952380952
79,4389,378197,221206,109,100
49,14701,717130,167129,163,14.7619047619048
41,2076,86570,158076,236,100
13,6939,728340,300002,89,100
37,14729,3362,332543,24,100
7,19295,972300,368794,314,100
83,4010,372870,137143,270,37.9701166977951
26,5441,530245,124177,18,100
12,8797,70342,50471,21,100
40,9056,678156,377664,201,27.74360277919
46,6513,745462,16535,226,13.3333333333333
37,7464,235592,31068,26,21.5595284077323
92,1614,263366,189390,130,100
58,3908,797872,122640,51,100
94,1821,688921,44549,72,100
20,5501,189149,77607,324,0.952380952380963
68,17201,153258,104660,68,23.8095238095238
73,10236,8817,131300,130,57.2854241468103
75,8393,463851,119979,90,39.4900178959889
13,2700,593007,249415,321,100
93,1322,379802,387995,72,100
98,8665,113047,212672,339,100
6,3706,606072,210572,319,100
24,13134,515113,162117,23,100
12,5121,144666,348726,30,100
61,15036,287845,367206,142,41.6319631669054
97,10837,882682,305015,242,100
46,10644,137728,79952,117,13.3333333333333
89,18260,916372,203699,226,100
36,762,940599,54321,345,25.7728792074625
57,6288,598667,256644,244,31.9773916954447
89,14284,812155,87847,102,100
2,4764,140400,246754,5,100
97,12028,844185,10988,272,100
74,1297,522939,353401,310,100
14,13135,537914,254025,258,100
26,2353,546256,216802,225,100
84,9586,607456,330821,358,31.4285714285714
69,14551,98770,201456,272,41.2763557491935
75,49,5760,276589,305,100
53,16429,117640,249654,88,48.3228521607238
53,4360,882241,66612,297,16.6666666666667
68,12073,618354,65056,45,29.3060703745345
25,8814,46889,137084,160,25.2651415677006
23,18609,710431,196811,102,3.56638747689044
13,8632,687876,322208,134,100
85,11751,909105,169078,48,100
42,17610,451265,149993,1,100
7,6198,591981,195082,111,100
76,15547,852805,178012,350,27.6190476190476
48,2199,843155,382786,162,100
17,15948,827134,398101,25,100
75,8944,515892,365715,230,41.7264354301391
94,10231,870626,311247,158,100
23,14390,77923,23514,75,2.38095238095237
24,16564,783031,249134,360,2.85714285714285
28,4448,109048,12373,205,4.76190476190476
20,19794,963874,238338,118,1.61933292814645
84,2359,259330,105300,259,45.4209424320535
54,14280,990161,255507,127,26.8165647125128
89,8255,152116,135282,30,100
99,11032,105483,263856,178,100
74,8075,73832,73206,154,26.6666666666667
7,9562,214777,364325,92,100
21,10434,306258,30707,313,1.42857142857143
32,16997,629371,327597,340,6.66666666666667
34,4010,562432,32860,56,18.1729125003623
62,13943,80241,234380,213,42.8739044043251
24,12573,460479,293592,140,16.2055992183516
48,453,507176,268103,241,100
32,15487,624864,107814,303,6.66666666666667
16,4870,317266,377167,47,100
8,16859,880489,326722,51,100
57,16168,770286,387276,161,29.4999997540821
65,9468,205812,336018,65,100
41,14677,243887,341633,298,20.4895158310373
99,18162,393227,381609,3,100
3,6098,358982,293823,234,100
84,17405,401912,78620,360,31.4285714285714
90,6885,406517,36895,94,100
35,2944,369362,173329,180,100
59,6815,159003,53060,78,19.5238095238095
75,4096,361006,346871,120,100
99,7098,391151,220686,154,100
56,6636,228339,125536,136,27.4647682167437
2,11021,508061,96009,341,100
59,962,265820,158077,21,100
56,1758,568220,249359,235,100
85,12402,759295,104257,105,31.9047619047619
57,18689,66405,143243,205,36.4519998151659
80,16203,557756,3454,63,29.5238095238095
9,5999,824220,263434,207,100
59,12639,34961,265367,63,100
71,11437,492595,365507,62,100
50,12809,264268,350581,57,100
36,8232,474191,253424,355,8.57142857142857
95,8921,177846,326414,45,100
66,2142,158097,167900,327,44.2308970759239
77,12417,351655,346989,276,28.5063750477063
30,4726,972988,348712,211,100
27,3492,142912,82483,288,4.28571428571429
20,2853,850990,176895,175,100
76,9259,232600,397140,108,100
30,705,601674,319071,182,100
25,2852,671362,250533,4,100
61,12378,598723,390023,171,35.7196675702764
36,7456,674152,302558,226,23.3402111960273
60,8644,245830,295518,212,38.2677197328082
99,778,360051,168301,62,100
22,12216,574846,215877,249,1.90476190476191
89,4281,517523,59306,259,100
72,5401,772011,81021,211,25.7142857142857
92,3786,697192,206476,180,100
83,19135,56495,387225,117,73.4836827364428
62,8386,812622,294728,146,40.4384155334184
77,11047,377769,350551,21,100
47,17556,660722,362296,83,33.7362503903675
60,12527,393060,168048,1,100
16,13753,62320,252546,141,100
29,13094,349500,242901,169,8.20396747959829
70,15245,271961,296260,95,44.534120608346
76,9074,552383,383576,106,100
2,6198,184847,57797,286,100
55,17178,150628,381751,262,37.8000032681487
22,2984,624247,225763,61,100
11,15184,555166,4276,29,100
45,5026,726288,127102,43,100
90,13708,366104,326743,255,100
27,1104,4594,126721,14,100
21,5013,925953,36454,180,1.42857142857143
59,6286,253494,223173,140,100
68,18651,689730,211788,28,100
37,15354,513640,56788,203,9.04761904761905
82,202,890394,26903,175,100
26,10231,429901,2435,211,3.80952380952381
28,15234,789315,68016,239,4.76190476190476
79,9845,804874,235912,288,29.0476190476191
26,1115,40707,147253,275,100
33,19848,327996,350351,353,9.26977177037831
2,13295,91225,49709,302,100
67,1993,24374,355416,304,100
49,9676,944317,4408,154,14.7619047619048
94,14267,187711,334153,141,100
62,6948,656493,103929,57,100
37,1684,79975,318043,227,100
25,18687,309552,39101,287,3.33333333333333
50,13059,826392,359232,165,28.5775249102848
15,11306,422214,115884,40,100
83,3760,543311,123070,43,100
49,11864,40811,348948,35,100
65,16648,760142,359693,59,100
16,18564,997843,102303,277,100
85,4640,41168,15682,54,31.9047619047619
22,15979,174589,367718,315,19.4117464236958
30,1500,915298,274350,211,100
91,675,886018,396351,221,100
77,17136,907472,6638,163,28.0952380952381
43,11389,93004,168580,275,26.8484088379687
2,888,399666,114173,360,100
20,12230,904604,45218,196,0.952380952380963
63,4070,880848,235291,204,100
91,1462,12258,12757,2,100
10,19508,432432,359913,72,100
69,17278,789141,50951,203,24.2857142857143
97,11140,789808,100149,285,100
64,17794,936443,166478,216,21.9047619047619
38,6629,826237,376371,148,100
68,11839,765206,6623,272,23.8095238095238
48,9600,676793,143241,242,14.2857142857143
4,7504,571110,187870,150,100
48,7113,434515,78242,31,100
39,8393,537431,130163,178,10
35,4524,76186,213156,202,48.5571845882604
66,10679,894864,233672,35,100
91,16603,593801,368961,97,100
86,15523,520593,176896,258,32.3809523809524
45,12363,276107,174541,269,12.8571428571428
18,18869,136660,88624,237,100
31,1199,939893,114330,60,100
73,8677,765742,81140,71,34.2150017019379
26,11484,943406,195632,242,3.80952380952381
100,833,490463,294908,244,100
58,18587,97094,9019,299,19.0476190476191
92,6621,24872,64237,284,100
32,5813,91600,51331,103,6.66666666666667
74,13325,824028,390619,262,30.2083957342918
42,527,14359,170146,193,100
18,1323,720306,166963,128,100
86,3871,711023,146462,78,100
59,4179,283333,59816,87,32.5965102504824
60,17100,705077,194463,107,21.970040573271
79,11428,937,223387,240,62.2411352325358
84,12488,320688,292391,248,31.4285714285714
75,48,702591,380325,152,100
1,5707,425496,187996,332,100
27,8128,632420,306240,178,21.8712245608797
64,1070,101871,40036,284,29.937532411306
74,8718,53315,83644,180,38.7532080404253
60,6313,238601,56993,31,100
81,10814,574213,184995,134,37.22315017523
83,11536,178811,247200,149,50.3297541994144
7,16902,650,205287,341,100
69,19028,392296,170339,235,24.2857142857143
24,12478,395990,365824,254,7.31127016061846
60,17214,249455,382002,215,32.6044715298175
5,16530,928242,272335,216,100
20,7,367637,397062,352,100
54,19957,239507,282662,282,22.2319741801667
34,15509,280953,152404,233,7.61904761904761
17,1594,423809,275128,109,100
1,17678,282392,115107,233,100
49,4905,275538,60728,138,14.7619047619048
32,9716,182616,30984,271,6.66666666666667
89,16717,60309,177217,252,100
19,15353,395962,206752,32,100
13,15665,552232,92511,357,100
68,2126,518596,71802,165,40.8577954454114
96,17965,829490,70723,122,100
50,15927,899670,53256,215,15.2380952380952
20,7044,282141,308126,232,19.4177922884361
20,5991,733407,246064,102,100
95,8281,83832,324395,174,100
35,16338,687885,248976,224,8.09523809523809
88,4156,698171,348311,21,100
93,15877,757096,174659,286,100
58,7913,368248,209483,94,100
16,772,311433,305596,48,100
91,15915,976560,25861,109,100
56,11214,179815,109290,126,18.0952380952381
59,6133,641144,71948,116,19.8968567245656
12,17250,873450,215503,96,100
1,2563,671027,140132,31,100
95,8166,582291,63028,341,100
32,3578,78586,71617,154,14.3537614439775
6,463,789962,132836,218,100
50,17844,606791,92933,96,15.2380952380952
85,13714,509715,45449,81,31.9047619047619
4,7000,375633,36757,246,100
19,7463,299071,363124,348,15.8487721103797
86,7115,775325,334349,249,48.0517534500947
21,13463,772376,160204,248,1.42857142857143
77,5752,196221,198579,350,28.491050341246
13,646,769338,67445,178,100
92,756,385075,391482,223,100
27,9316,427257,378179,354,8.55111946862149
97,18626,906676,284034,282,100
72,17995,596716,131188,157,25.7142857142857
52,19391,961038,233876,333,16.1904761904762
40,12449,935285,148917,65,25.6968614987511
79,1309,322641,314130,164,100
54,7554,811289,32663,66,17.1428571428572
85,7443,506367,49181,152,31.9047619047619
8,11541,8616,345772,337,100
23,16875,949399,298299,352,2.38095238095237
7,13031,352730,358243,26,100
54,13113,501125,90365,298,17.1428571428572
64,11881,597497,120740,137,21.9047619047619
55,663,15571,93813,124,100
17,10625,38502,108125,121,100
88,12675,166991,211532,11,100
26,484,718367,105196,286,100
70,8543,151012,272299,355,39.6091866101671
90,9885,138565,128182,9,100
41,13670,788384,110907,157,10.952380952381
59,2040,642059,194878,317,100
50,15055,15472,16506,201,17.3262248071408
53,7842,364399,208928,181,27.3542081482616
93,16494,551665,200071,216,100
71,18091,365371,341809,233,25.2380952380952
22,11668,454778,221174,275,1.90476190476191
82,11465,104133,291821,311,51.9149034771968
10,3799,680465,153289,360,100
68,13958,331499,268447,218,23.8095238095238
82,19773,886796,96894,20,50.2049662517803
57,1437,294009,30053,288,18.5714285714286
53,9035,271596,173961,319,16.6666666666667
83,14948,104398,288062,126,63.7440716300823
11,742,474256,356175,9,100
100,4502,547537,9673,172,100
95,10482,717657,67874,118,100
100,14976,598918,230936,189,100
84,2611,568838,384379,74,100
38,2156,844169,385961,289,100
25,11877,666728,393849,120,100
9,4336,300303,43616,314,100
84,15156,572217,206214,185,31.4285714285714
17,12078,879828,323581,118,100
18,19288,698903,46003,322,100
25,14192,251382,389929,317,15.1771134403101
82,2507,710126,276695,85,100
35,3786,322055,237868,187,100
63,12581,338316,207221,48,100
97,15180,900630,34472,346,100
6,18823,342680,33177,358,100
40,3214,536291,196406,18,100
67,2820,543665,171478,52,100
35,13180,844501,42815,6,100
91,7942,812317,367067,339,100
17,15749,236896,154989,118,100
1,8408,671829,291239,185,100
29,19082,762122,67461,221,5.23809523809524
57,3879,924193,31935,358,18.5714285714286
46,4452,695040,67668,192,13.3333333333333
20,19749,506932,225038,41,100
17,9087,49063,38447,119,100
82,17668,440900,355453,233,30.4761904761905
6,4407,531047,311704,83,100
18,3038,588175,147262,66,100
47,13713,853811,287240,182,18.180247478465
85,19849,458952,237655,5,100
2,18630,250878,210823,58,100
77,5198,275292,73317,240,28.0952380952381
74,17504,602906,250087,65,44.8351440365419
61,1989,112966,376410,181,100
34,18665,443593,167745,192,7.61904761904761
47,244,948410,214650,172,100
41,10573,463817,1740,83,10.952380952381
1,11575,528847,213220,109,100
71,6524,650777,264210,182,43.5913243613936
37,10790,770833,194310,51,100
82,2024,729217,159654,18,100
95,16305,747026,292439,36,100
94,4169,370998,386221,241,100
54,14479,423717,148798,303,17.1428571428572
9,17137,823566,139267,334,100
25,14499,689952,235348,327,3.33333333333333
89,15789,138009,325335,315,100
100,16203,522274,27139,294,100
59,16573,761743,334,268,19.5238095238095
30,6517,916302,219848,130,100
65,13147,243290,76717,18,100
64,2586,815509,217390,206,100
22,1281,137174,247648,200,100
62,7652,288297,178487,161,31.2780255838294
59,4913,298947,204985,280,30.4873759636303
12,17397,361483,111303,141,100
86,17789,139005,165663,234,37.7448537952694
12,16106,237510,258193,97,100
73,11987,176113,289166,196,45.4728030661578
20,4607,152272,243098,147,100
38,710,15077,191792,213,100
91,7138,155152,16306,227,100
2,5741,748853,7179,186,100
75,9604,563012,127476,217,27.1428571428572
15,5403,131281,94782,255,100
10,8390,103646,369898,309,100
72,12312,580208,50915,319,25.7142857142857
9,6333,794194,87652,21,100
77,1416,645922,4026,297,28.0952380952381
32,2810,145443,66713,56,100
88,1666,180040,110855,306,100
76,10941,975301,128003,111,29.3267940520739
1,17619,323657,133475,271,100
29,12134,7287,29794,330,30.4187803872304
3,8787,818161,174259,62,100
86,15344,776595,178248,218,32.3809523809524
56,2152,70022,270545,170,100
36,10563,949848,56999,185,8.57142857142857
31,19046,637699,260660,296,6.19047619047619
85,19781,10336,320998,277,64.1647759858465
67,254,494394,67862,193,100
97,14829,340764,331140,111,100
31,1351,980300,393103,205,100
16,1893,873569,136074,43,100
87,5938,573105,58953,33,100
28,1785,207887,103288,232,24.7306652503771
18,2294,172910,351929,80,100
71,1416,971485,359011,243,100
7,392,555541,185241,25,100
59,13251,504288,105487,12,100
21,9480,202421,380761,256,29.1286247428552
55,10101,609566,267670,253,19.1277087814242
51,5572,654600,52373,113,15.7142857142857
16,4855,461034,168796,129,100
44,15001,126421,348358,152,45.1326809666793
38,12814,298783,205395,138,14.1590732838816
66,8481,654695,326646,356,25.379996343792
7,10811,38101,337352,161,100
79,19010,66030,311560,324,55.3165025157579
74,10208,808693,353100,36,100
26,16993,566451,329870,133,14.3048805662259
23,12821,592030,232760,301,2.38095238095237
61,2717,859522,36727,349,20.4761904761905
8,3308,262076,297318,22,100
41,5725,530517,140034,89,100
27,18009,24719,339945,117,47.8678329617746
61,14011,683101,107971,55,30.0190306832831
75,17005,404627,283574,258,27.1428571428572
42,12857,620726,221359,253,11.4285714285714
61,8339,948890,22028,239,20.4761904761905
33,635,671627,145986,281,100
73,9188,385838,163680,212,26.1904761904762
48,14263,248830,62425,217,14.2857142857143
6,962,324666,153225,318,100
7,9220,463280,181643,347,100
47,16750,837385,383122,220,15.0817034285486
51,1210,702921,63774,107,100
97,8043,692900,245002,323,100
75,10145,607544,192273,110,41.1295670119842
99,890,317780,318220,315,100
65,10155,235864,254432,179,34.3324757742362
13,13140,55334,385403,75,100
52,5854,919072,367070,215,100
78,6610,945158,191197,341,28.5714285714286
65,8206,250189,77751,349,22.3809523809524
69,19097,569467,279872,337,24.2857142857143
18,8446,609390,95616,100,100
86,10379,614735,22221,238,32.3809523809524
82,3374,327535,72274,164,38.2892352779172
59,19645,711554,174215,11,100
27,5780,944048,287672,191,100
74,16580,902879,147087,65,35.5768128159978
13,8633,510772,174095,53,100
85,10258,270276,115924,110,32.7921248897061
35,180,506773,188785,336,100
11,14675,371522,276695,240,100
98,4301,611737,105120,191,100
68,1225,111869,133358,93,100
77,9481,522224,207404,273,28.0952380952381
26,16593,304104,235494,257,3.80952380952381
89,4916,30894,129964,95,100
98,18804,526112,227983,294,100
68,12465,434644,383899,142,41.7739710556311
88,6041,45274,207618,356,100
11,15764,629290,287403,80,100
25,2731,327863,29663,331,3.33333333333333
18,3651,26194,76965,232,100
59,17311,885059,356982,255,19.5238095238095
68,7663,400901,13419,48,23.8095238095238
68,3940,926674,366053,114,100
39,11407,691328,355354,166,25.5711206290066
60,19446,110048,337240,354,42.4560154983592
15,8514,338342,211203,160,100
61,7891,714994,125342,89,35.1326504018339
37,2964,246087,336127,32,100
65,15142,898495,244717,221,22.3809523809524
11,5761,131441,281218,262,100
31,12513,778493,331758,214,12.618836621875
62,19862,577253,368018,88,38.4544596550531
75,1624,601873,193244,162,100
59,17002,111864,258601,239,38.4380184144686
90,6781,132094,314556,166,100
94,6877,876829,268738,290,100
78,5156,412626,151091,295,28.5714285714286
94,4448,173653,219598,302,100
88,9238,774572,321277,36,100
58,14108,67632,326697,238,45.4803686596449
8,9263,680997,103970,263,100
18,12972,985640,86389,281,100
87,19451,673734,397150,254,32.8571428571428
27,16538,933920,79425,351,4.28571428571429
5,4138,348829,194381,248,100
48,13701,306839,381864,292,20.8347299911312
66,9830,355111,275039,10,100
86,13593,355677,154001,109,33.6444290250434
39,13545,783732,106801,180,10
88,13819,784689,61084,111,100
61,6313,804268,187543,353,20.4761904761905
41,5417,225466,291942,90,100
12,863,512424,106119,64,100
83,14011,122388,39085,74,30.9523809523809
81,3353,14008,250054,181,100
31,7296,683834,323809,172,100
84,1173,135417,286992,45,100
11,15817,102000,251494,140,100
72,3471,136821,302056,204,100
98,2252,159778,366314,325,100
7,18272,814375,130538,314,100
89,18537,16162,357479,232,100
94,12319,621849,340426,69,100
49,2105,833666,47777,16,100
15,7281,817180,48925,163,100
40,5075,495981,293243,6,100
91,13849,276063,203723,73,100
85,10226,537701,210904,320,31.9047619047619
44,7212,534408,273244,346,15.2732147301104
9,8340,182107,330912,161,100
69,14548,633740,268301,220,24.2857142857143
78,12588,893442,399354,279,32.5903190795993
76,8782,150000,365508,272,58.8217937513712
21,13809,167618,75526,195,1.42857142857143
72,19492,951679,7837,100,25.7142857142857
45,14146,814141,225587,99,25.4969965130125
50,8358,32715,345571,307,53.9987165479467
38,14516,813370,202925,114,15.6742920501945
1,12634,460186,235222,236,100
76,17292,127722,53487,319,27.6190476190476
79,9165,793647,343217,154,48.6732980398213
33,2231,121890,216785,248,100
59,9779,740859,299267,21,100
23,2454,701766,188336,52,100
66,2386,829281,160349,187,100
54,17599,809396,398288,111,34.1271415467726
61,12283,651443,48886,266,20.4761904761905
13,1562,911367,155855,207,100
16,17946,681969,368022,275,100
94,4429,771468,249452,281,100
80,15901,761175,130485,291,29.5238095238095
96,16137,228099,220552,135,100
27,9127,207409,120451,262,4.28571428571429
79,16532,933574,68883,174,29.0476190476191
73,6201,131857,367118,18,100
46,2431,639904,229446,14,100
90,754,605728,109659,159,100
11,12468,361811,275895,254,100
57,13833,223989,41915,24,25.5027578489346
25,12275,476903,377235,145,20.9392907162202
14,17604,967766,350573,337,100
47,7891,243183,260019,320,16.9301931965045
42,785,576362,10369,166,11.4285714285714
72,3388,355030,74619,203,28.3242554717648
69,630,54105,279181,139,100
65,5501,942859,156149,344,22.3809523809524
68,3623,443685,258754,188,100
71,9905,500098,337946,213,37.761743000361
92,3060,904342,309202,268,100
29,19484,364486,127909,111,5.23809523809524
9,18513,566676,147268,112,100
91,14095,414812,223001,156,100
12,16244,551592,75257,215,100
89,3400,176767,57912,144,100
98,4554,350844,292593,149,100
5,8771,261040,304625,52,100
39,5980,20586,363768,201,100
85,13538,139220,149215,346,34.1375579820106
75,5104,770881,199098,359,29.7989025744202
45,9779,376894,87630,35,100
55,8259,558754,70595,131,17.6190476190476
19,7858,336768,83540,81,8.41258820981109
45,4844,98395,223487,111,100
58,9416,770696,285266,104,100
55,493,169037,143341,317,100
2,4075,470295,310798,70,100
54,19544,918643,310760,116,26.1583460517686
47,9329,835653,98854,162,13.8095238095238
72,7834,770687,326219,163,100
5,1185,807405,234102,44,100
13,28,176530,282554,76,100
58,1411,913663,248564,189,100
34,3528,173312,44774,67,23.3546679939676
22,8972,446953,305655,359,1.90476190476191
43,5377,452992,56842,38,100
17,1001,15888,152738,216,100
11,19487,317730,13630,346,100
58,5498,975679,91121,79,36.4921159253969
9,8507,700948,348559,66,100
47,11132,58932,389328,14,100
4,5859,32197,334940,127,100
32,5513,458584,147652,300,6.66666666666667
95,9922,132272,252147,166,100
42,9743,660827,386554,277,21.4895115990694
28,13705,741558,364493,43,100
6,16369,94916,233513,216,100
29,5370,241680,247872,160,100
92,13426,523084,160820,29,100
51,13135,699413,114680,89,15.7142857142857
52,6451,249932,208326,338,16.1904761904762
10,2208,701956,396193,207,100
94,3749,143399,332097,27,100
29,19344,550835,233345,229,5.23809523809524
40,15019,949566,272733,338,10.4761904761905
46,10705,263890,67704,225,13.3333333333333
11,188,431333,378986,209,100
41,15939,372869,112293,201,10.952380952381
12,18030,336119,230583,126,100
95,17281,429982,192102,185,100
82,4680,428183,393183,72,100
38,11865,337965,117742,123,9.52380952380952
33,10884,229324,249957,320,9.89439707439203
13,13020,824728,20549,257,100
48,6469,616028,315806,56,100
40,17533,237264,346217,256,20.9660470305095
36,6064,387078,248662,264,20.4446272641654
16,3592,844434,153343,186,100
69,17356,246573,200491,211,24.2857142857143
28,1102,971702,304061,230,100
28,7154,302074,65306,179,4.76190476190476
42,7074,470726,69102,254,11.4285714285714
17,13591,716576,302753,298,100
96,17944,196326,163833,141,100
70,1861,249606,282096,191,100
5,10922,146101,112544,333,100
79,10998,992776,271524,153,41.7235519301635
15,15363,20675,373768,326,100
32,13698,816245,284081,57,100
95,16799,544225,41606,190,100
83,2692,803758,389586,338,100
46,14994,100730,270481,154,39.1298957536142
97,10517,554560,362530,224,100
11,9470,286206,253399,78,100
56,19843,281640,275176,185,18.0952380952381
4,7005,731934,222984,176,100
10,15749,508562,364519,31,100
63,7658,708061,91383,20,100
69,3176,416098,187632,20,100
93,11838,301201,258622,306,100
97,15468,10108,274535,197,100
35,7476,180177,67381,88,8.88289831597292
33,18814,744015,59160,201,7.14285714285715
12,10579,560175,215655,107,100
19,11069,720890,285465,129,17.136131274537
4,8825,461540,5991,193,100
1,13631,996401,81645,166,100
98,11421,404152,327739,228,100
43,19480,946958,236343,18,100
31,16035,593366,316994,37,100
69,9079,125121,249818,356,40.9240936925892
89,10088,31431,105145,235,100
100,269,48453,173619,278,100
47,18739,132751,12451,147,13.8095238095238
59,12449,917552,47414,54,19.5238095238095
78,14963,688,292074,167,66.6414496391488
18,1873,484752,334178,92,100
7,16361,422751,152314,298,100
99,1466,373106,375169,19,100
61,6932,815853,333053,271,35.0079917210374
31,8422,644422,190549,61,100
18,17631,106003,147473,266,100
11,10913,822939,381247,137,100
53,9563,666750,62025,126,16.6666666666667
83,11877,136696,316995,346,49.9115653769513
43,1522,535633,232358,84,100
32,18095,714291,97210,278,6.66666666666667
13,1480,672695,238755,271,100
51,3850,890738,192357,221,34.3033328159422
60,12972,358710,92689,145,20
50,2829,505990,191812,41,100
49,12198,969096,82602,9,100
27,19801,654291,50384,230,4.28571428571429
49,3169,925535,336837,287,100
78,17608,45347,395390,360,58.0817854342729
50,1989,994171,376774,13,100
74,16058,501901,94787,105,26.6666666666667
82,18764,456029,359242,155,36.8228871319267
7,3249,540446,273252,88,100
66,1415,300793,103466,25,100
4,14485,426484,293658,91,100
24,3045,817594,254470,222,100
27,13215,728075,148728,121,4.28571428571429
77,10884,586195,310571,246,32.6915676516573
43,17783,735146,340289,196,11.9047619047619
30,2893,273030,19654,99,5.71428571428571
51,1075,138854,375688,130,100
9,7364,677229,185665,61,100
80,5979,115572,325206,323,64.5496393055479
72,8105,119886,354023,335,55.528026629424
18,17893,822910,301356,285,100
40,11897,321288,375406,332,15.2814768417076
73,4993,972031,98519,271,26.1904761904762
3,3186,87132,122120,5,100
69,15752,942845,312157,120,37.4343328761458
72,15237,955503,71838,244,25.7142857142857
